No,Start Point (m),End Point (m),Latitude,Longitude,IRI (m/km),Roughness Condition,Speed (km/h),Total Crack Area (%),Average Crack Width (mm),Number of Potholes (per km),Average Rut Depth (cm)
1,0,100,-6.175495,106.827285,3.9,Baik,22,19.99,4.33,11,4.68
2,100,200,-6.175600,106.827380,2.46,Baik,31,1.16,1.21,13,4.8
3,200,300,-6.175700,106.827470,5.55,Sedang,20,8.43,3.53,9,3.74
4,300,400,-6.175800,106.827560,9.15,Buruk,20,26.29,1.67,44,2.25
5,400,500,-6.175900,106.827650,2.66,Baik,36,24.39,0.66,18,1.37
6,500,600,-6.176000,106.827740,5.79,Sedang,27,4.26,2.34,29,2.88
7,600,700,-6.176100,106.827830,8.66,Buruk,36,6.31,3.67,38,2.37
8,700,800,-6.176200,106.827920,4.8,Sedang,32,16.45,0.78,8,2.71
9,800,900,-6.176300,106.828010,9.47,Buruk,22,6.05,3.6,7,2.89
10,900,1000,-6.176400,106.828100,4.92,Sedang,33,22.91,2.55,14,1.93
11,1000,1100,-6.176500,106.828190,2.08,Baik,32,21.48,3.31,14,1.16
12,1100,1200,-6.176600,106.828280,9.25,Buruk,28,20.19,3.52,39,2.85
13,1200,1300,-6.176700,106.828370,9.09,Buruk,29,11.51,0.61,11,2.5
14,1300,1400,-6.176800,106.828460,2.02,Baik,29,25.98,2.84,39,0.04
15,1400,1500,-6.176900,106.828550,3.58,Baik,28,10.42,0.37,41,0.36
16,1500,1600,-6.177000,106.828640,4.24,Sedang,27,24.32,1.03,34,1.51
17,1600,1700,-6.177100,106.828730,2.12,Baik,33,16.16,4.23,0,3.65
18,1700,1800,-6.177200,106.828820,3.72,Baik,35,22.43,2.56,5,1.13
19,1800,1900,-6.177300,106.828910,1.52,Sangat Baik,31,11.3,1.2,5,4.9
20,1900,2000,-6.177400,106.829000,7.37,Buruk,32,12.99,2.56,22,3.93
21,2000,2100,-6.177500,106.829090,6.44,Buruk,35,29.79,0.55,30,2.07
22,2100,2200,-6.177600,106.829180,2.71,Baik,35,15.87,4.45,4,2.55
23,2200,2300,-6.177700,106.829270,3.35,Baik,33,7.12,3.31,35,1.64
24,2300,2400,-6.177800,106.829360,3.05,Baik,34,17.5,0.99,38,2.85
25,2400,2500,-6.177900,106.829450,9.24,Buruk,37,9.98,2.51,8,2.05
26,2500,2600,-6.178000,106.829540,2.76,Baik,23,27.92,4.16,36,1.38
27,2600,2700,-6.178100,106.829630,3.56,Baik,23,4.83,0.57,7,0.32
28,2700,2800,-6.178200,106.829720,7.51,Buruk,21,12.02,0.58,49,2.23
29,2800,2900,-6.178300,106.829810,6.32,Buruk,20,12.92,1.84,43,2.99
30,2900,3000,-6.178400,106.829900,2.44,Baik,35,13.71,1.35,37,1.47
31,3000,3100,-6.178500,106.829990,9.5,Buruk,32,26.83,3.92,25,0.48
32,3100,3200,-6.178600,106.830080,8.2,Buruk,37,21.29,3.37,37,2.47
33,3200,3300,-6.178700,106.830170,8.3,Buruk,32,19.37,1.61,43,0.08
34,3300,3400,-6.178800,106.830260,3.82,Baik,31,26.41,1.69,37,0.12
35,3400,3500,-6.178900,106.830350,4.56,Sedang,21,29.75,0.5,25,0.99
36,3500,3600,-6.179000,106.830440,3.92,Baik,31,26.5,1.25,21,3.97
37,3600,3700,-6.179100,106.830530,3.83,Baik,29,20.83,0.64,35,4.75
38,3700,3800,-6.179200,106.830620,9.68,Buruk,22,7.06,3.6,3,0.77
39,3800,3900,-6.179300,106.830710,8.4,Buruk,30,6.25,4.53,38,3.91
40,3900,4000,-6.179400,106.830800,4.44,Sedang,34,13.01,0.72,29,2.49
41,4000,4100,-6.179500,106.830890,5.33,Sedang,30,28.51,3.87,26,3.44
42,4100,4200,-6.179600,106.830980,6.16,Buruk,22,18.15,2.01,2,1.41
43,4200,4300,-6.179700,106.831070,6.84,Buruk,33,20.1,0.0,28,3.79
44,4300,4400,-6.179800,106.831160,3.19,Baik,25,7.1,4.21,4,2.54
45,4400,4500,-6.179900,106.831250,5.83,Sedang,24,29.56,4.31,16,0.81
46,4500,4600,-6.180000,106.831340,7.08,Buruk,30,26.83,2.61,17,1.06
47,4600,4700,-6.180100,106.831430,8.88,Buruk,30,24.24,4.19,10,0.1
48,4700,4800,-6.180200,106.831520,1.62,Sangat Baik,24,25.02,0.32,37,0.19
49,4800,4900,-6.180300,106.831610,6.91,Buruk,35,0.62,1.19,22,1.53
50,4900,5000,-6.180400,106.831700,4.14,Sedang,27,29.39,0.29,35,3.44
