No,Start Point (m),End Point (m),Latitude,Longitude,IRI (m/km),Roughness Condition,Speed (km/h),Total Crack Area (%),Average Crack Width (mm),Number of Potholes (per km),Average Rut Depth (cm)
1,0,100,-7.769751642923494,110.3777620419847,3.9,Baik,22,19.99,4.33,11,4.68
2,100,200,-7.770069132150585,110.37740745885979,2.46,Baik,31,1.16,1.21,13,4.8
3,200,300,-7.7696761557309495,110.37726153899985,5.55,Sedang,20,8.43,3.53,9,3.74
4,300,400,-7.769238485071796,110.37790583814441,9.15,Buruk,20,26.29,1.67,44,2.25
5,400,500,-7.770117076687361,110.37811549976125,2.66,Baik,36,24.39,0.66,18,1.37
6,500,600,-7.770117068478474,110.37806564005956,5.79,Sedang,27,4.26,2.34,29,2.88
7,600,700,-7.769210393592246,110.37718039123838,8.66,Buruk,36,6.31,3.67,38,2.37
8,700,800,-7.769616282635423,110.37744539381208,4.8,Sedang,32,16.45,0.78,8,2.71
9,800,900,-7.770234737192967,110.3777656317157,9.47,Buruk,22,6.05,3.6,7,2.89
10,900,1000,-7.769728719978207,110.37808777256356,4.92,Sedang,33,22.91,2.55,14,1.93
11,1000,1100,-7.7702317088464055,110.37736041288107,2.08,Baik,32,21.48,3.31,14,1.16
12,1100,1200,-7.770232864876784,110.37750717051166,9.25,Buruk,28,20.19,3.52,39,2.85
13,1200,1300,-7.769879018864216,110.377046832513,9.09,Buruk,29,11.51,0.61,11,2.5
14,1300,1400,-7.7709566401223285,110.37700189668796,2.02,Baik,29,25.98,2.84,39,0.04
15,1400,1500,-7.770862458916256,110.3780062629112,3.58,Baik,28,10.42,0.37,41,0.36
16,1500,1600,-7.77028114376462,110.37827812001429,4.24,Sedang,27,24.32,1.03,34,1.51
17,1600,1700,-7.770506415560167,110.37756399493921,2.12,Baik,33,16.16,4.23,0,3.65
18,1700,1800,-7.769842876333702,110.37810176644895,3.72,Baik,35,22.43,2.56,5,1.13
19,1800,1900,-7.77045401203776,110.37778081801252,1.52,Sangat Baik,31,11.3,1.2,5,4.9
20,1900,2000,-7.770706151850667,110.3772774401227,7.37,Buruk,32,12.99,2.56,22,3.93
21,2000,2100,-7.769267175615539,110.37778069780275,6.44,Buruk,35,29.79,0.55,30,2.07
22,2100,2200,-7.770112888150243,110.37836901828324,2.71,Baik,35,15.87,4.45,4,2.55
23,2200,2300,-7.769966235897655,110.37758208698044,3.35,Baik,33,7.12,3.31,35,1.64
24,2300,2400,-7.770712374093106,110.37838232182791,3.05,Baik,34,17.5,0.99,38,2.85
25,2400,2500,-7.770272191362262,110.37629012744796,9.24,Buruk,37,9.98,2.51,8,2.05
26,2500,2600,-7.769944538705144,110.3780109512522,2.76,Baik,23,27.92,4.16,36,1.38
27,2600,2700,-7.770575496788711,110.37764352353412,3.56,Baik,23,4.83,0.57,7,0.32
28,2700,2800,-7.769812150990827,110.37745049632477,7.51,Buruk,21,12.02,0.58,49,2.23
29,2800,2900,-7.770300319344959,110.37764588038827,6.32,Buruk,20,12.92,1.84,43,2.99
30,2900,3000,-7.770145846874896,110.3766062155427,2.44,Baik,35,13.71,1.35,37,1.47
31,3000,3100,-7.770300853306114,110.37749016405608,9.5,Buruk,32,26.83,3.92,25,0.48
32,3100,3200,-7.769073860907745,110.37777855628576,8.2,Buruk,37,21.29,3.37,37,2.47
33,3200,3300,-7.770006748612369,110.37833894702237,8.3,Buruk,32,19.37,1.61,43,0.08
34,3300,3400,-7.770528855464478,110.37734086489087,3.82,Baik,31,26.41,1.69,37,0.12
35,3400,3500,-7.769588727543948,110.37719575319855,4.56,Sedang,21,29.75,0.5,25,0.99
36,3500,3600,-7.770610421824985,110.3773491214782,3.92,Baik,31,26.5,1.25,21,3.97
37,3600,3700,-7.7698955682024975,110.37805770105885,3.83,Baik,29,20.83,0.64,35,4.75
38,3700,3800,-7.770979835061939,110.37776437555483,9.68,Buruk,22,7.06,3.6,3,0.77
39,3800,3900,-7.770664093024449,110.37733511989812,8.4,Buruk,30,6.25,4.53,38,3.91
40,3900,4000,-7.769901569382065,110.37785663371656,4.44,Sedang,34,13.01,0.72,29,2.49
41,4000,4100,-7.7696307667100015,110.37764853877468,5.33,Sedang,30,28.51,3.87,26,3.44
42,4100,4200,-7.769914315859404,110.37808432249527,6.16,Buruk,22,18.15,2.01,2,1.41
43,4200,4300,-7.770057824141194,110.37724897345306,6.84,Buruk,33,20.1,0.0,28,3.79
44,4300,4400,-7.770150551847794,110.3774361689267,3.19,Baik,25,7.1,4.21,4,2.54
45,4400,4500,-7.7707392609951835,110.37740394592343,5.83,Sedang,24,29.56,4.31,16,0.81
46,4500,4600,-7.770359922104197,110.37686824252593,7.08,Buruk,30,26.83,2.61,17,1.06
47,4600,4700,-7.77023031938548,110.37774806013853,8.88,Buruk,30,24.24,4.19,10,0.1
48,4700,4800,-7.76947143888689,110.37773052763609,1.62,Sangat Baik,24,25.02,0.32,37,0.19
49,4800,4900,-7.769828190855216,110.37760255672832,6.91,Buruk,35,0.62,1.19,22,1.53
50,4900,5000,-7.770881520077681,110.37748270643331,4.14,Sedang,27,29.39,0.29,35,3.44
